Sample,RHJC:Y,RHJC:Z,RKJC:Y,RKJC:Z,RAJC:Y,RAJC:Z,RTOE:Y,RTOE:Z,RHJC:Yf,RHJC:Zf,RKJC:Yf,RKJC:Zf,RAJC:Yf,RAJC:Zf,RTOE:Yf,RTOE:Zf,COPy,Fy,Fz
45,519.783875,840.298401,406.221252,430.318359,222.979507,88.243164,339.005646,26.662476,519.581720998,840.270284774,405.917024341,429.547733341,222.802519234,87.4297494036,338.665583617,26.9760388414,298.040167415,101.503229351,688.928504969
46,533.564026,836.176514,415.659668,428.932343,226.241531,89.177032,339.357758,26.436062,533.388601519,836.226508305,415.184769655,427.55268992,226.166985255,88.4585257806,339.201350856,26.9302305574,296.283548054,117.733134712,730.460350877
47,547.621155,832.168335,425.122559,427.137543,229.400925,90.323975,339.715607,26.250496,547.465852565,832.27716109,424.571762202,425.601907673,229.450659238,89.8474674713,339.813756784,26.8715487028,294.573132464,135.070415469,769.286957388
48,561.990234,828.301514,434.726196,424.953705,232.583313,91.743393,340.058777,26.104908,561.875232638,828.462848596,434.078926233,423.697894458,232.585936999,91.655759553,340.479559976,26.7695772437,293.338495428,152.906884245,803.323874994
49,576.718689,824.617432,444.44516,422.221191,235.831909,93.537994,340.387054,25.990814,576.673274222,824.817034098,443.743263528,421.833894066,235.543546295,93.9352517862,341.161406433,26.5960409061,293.065618215,170.46705752,830.415748192
50,591.876831,821.133484,454.272888,419.469269,239.1548,95.835419,340.725983,25.901524,591.905946925,821.365480786,453.639865259,419.99331059,238.343352738,96.7267485189,341.810991634,26.3302309437,294.237366726,186.844692415,848.473176739
51,607.500732,817.879822,464.31601,417.071472,242.542145,98.742348,341.103577,25.834356,607.603503827,818.126486468,463.880491082,418.149570201,241.061225157,100.05697614,342.375324301,25.9647070362,297.258106243,201.059865182,855.62692059
52,623.595947,814.894287,474.827026,414.981934,245.885742,102.420845,341.532959,25.781441,623.775996558,815.111953463,474.608689411,416.266796076,243.830948911,103.936661857,342.806062893,25.5105654849,302.369480227,212.133861116,850.387244732
53,640.158081,812.196594,486.018463,413.066162,248.956909,107.10759,341.997742,25.721405,640.409929133,812.329234305,485.991778949,414.301676924,246.840657425,108.35998584,343.071461373,25.0014737648,309.567634709,219.176081822,831.793524302
54,657.171631,809.765564,498.053864,411.264191,251.694565,112.908562,342.465515,25.622343,657.466458306,809.783589313,498.210326071,412.206790073,250.323840395,113.305420862,343.169997714,24.4956844077,318.534603117,221.474382692,799.537953194
55,674.589722,807.549438,511.143646,409.463318,254.557144,119.578545,342.959229,25.45373,674.88144114,807.480998205,511.446001794,409.935413118,254.545622108,118.737699527,343.144328453,24.0753761209,328.597542487,218.578256868,754.047671737
56,692.302551,805.540771,525.473999,407.496857,258.546509,126.467346,343.601715,25.203854,692.567485354,805.430997848,525.868860135,407.447570051,259.785600954,124.610414976,343.093884818,23.8429284863,338.728471921,210.36358309,696.512040556
